dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,4,3,5,0.08650662251655629,0.08774834437086093,0.0869205298013245
ml-1m,4,3,10,0.2478062913907285,0.2599337748344371,0.25193748029012925
ml-1m,4,3,15,0.3620309050772627,0.3956953642384106,0.3731124513823189
ml-1m,4,3,20,0.4530658703878902,0.5033112582781457,0.4697572570916941
ml-1m,4,3,25,0.5182228804124499,0.5894039735099338,0.5423509522215518
ml-1m,4,3,30,0.5676266820927416,0.6548013245033113,0.5978337748664696
ml-1m,4,3,35,0.6034825549726212,0.7052980132450332,0.6390424344014126
ml-1m,4,3,5,0.14997240618101546,0.15314569536423842,0.1510485651214128
ml-1m,4,3,10,0.2864652317880795,0.3029801324503311,0.29215809944286764
ml-1m,4,3,15,0.4040809287291075,0.4437086092715232,0.4176377568347767
ml-1m,4,3,20,0.474502654262588,0.5314569536423841,0.4944234917951805
ml-1m,4,3,25,0.5185330122416215,0.5960264900662252,0.5454715129951685
ml-1m,4,3,30,0.5523613941246391,0.6465231788079471,0.585266944527698
ml-1m,4,3,35,0.5940079390483558,0.7011589403973509,0.631262593960509
ml-1m,4,3,5,0.02814569536423841,0.02814569536423841,0.02814569536423841
ml-1m,4,3,10,0.1546633554083885,0.1597682119205298,0.15640176600441502
ml-1m,4,3,15,0.2955022075055188,0.3178807947019868,0.3030497739934826
ml-1m,4,3,20,0.3822019867549669,0.4271523178807947,0.3971521625909043
ml-1m,4,3,25,0.4503649611058552,0.5190397350993378,0.4734441882620691
ml-1m,4,3,30,0.5156305545999255,0.6043046357615894,0.5457106803997629
ml-1m,4,3,35,0.5625110763635792,0.6630794701986755,0.5976365031755118
ml-1m,4,3,5,0.04801324503311258,0.04801324503311258,0.04801324503311258
ml-1m,4,3,10,0.17508278145695366,0.17798013245033112,0.1760485651214128
ml-1m,4,3,15,0.3042632450331125,0.3195364238410596,0.3092623252391464
ml-1m,4,3,20,0.39489908546199937,0.43460264900662254,0.4080470623930889
ml-1m,4,3,25,0.4703162777252181,0.5339403973509934,0.4917992557479312
ml-1m,4,3,30,0.5257972642699464,0.6092715231788081,0.5538293016769839
ml-1m,4,3,35,0.558525444845809,0.6548013245033113,0.5916513733278388
ml-1m,4,3,5,0.17735927152317882,0.1804635761589404,0.17831125827814567
ml-1m,4,3,10,0.3549944812362031,0.38079470198675497,0.3636510564490697
ml-1m,4,3,15,0.4541410438347523,0.5008278145695364,0.4701431203086832
ml-1m,4,3,20,0.5138672080311153,0.5836092715231788,0.5381026029644373
ml-1m,4,3,25,0.5593161690222948,0.6440397350993378,0.589052822494648
ml-1m,4,3,30,0.5814588465250716,0.6854304635761589,0.6178073680473858
ml-1m,4,3,35,0.607692693257132,0.7193708609271523,0.6472983804864046
ml-1m,4,3,5,0.11975717439293596,0.12251655629139073,0.12069536423841055
ml-1m,4,3,10,0.2854718543046358,0.3038079470198676,0.2914945337958583
ml-1m,4,3,15,0.397682119205298,0.4370860927152318,0.4108771011916707
ml-1m,4,3,20,0.4865703510984968,0.5480132450331126,0.5078665547865977
ml-1m,4,3,25,0.5486704199038636,0.6274834437086093,0.5756195707184215
ml-1m,4,3,30,0.5882895319360552,0.6854304635761589,0.6220639589437527
ml-1m,4,3,35,0.6213044126208812,0.7350993377483444,0.6607818310309211
ml-1m,4,3,5,0.05642935982339955,0.05794701986754967,0.05695364238410596
ml-1m,4,3,10,0.20626379690949226,0.21605960264900664,0.20963024282560705
ml-1m,4,3,15,0.31512831125827817,0.3402317880794702,0.3235534471047716
ml-1m,4,3,20,0.4153993219804478,0.4586092715231788,0.4300778669886578
ml-1m,4,3,25,0.473489238410596,0.5355960264900662,0.4946258398179799
ml-1m,4,3,30,0.513224636382749,0.5951986754966887,0.5409633662292664
ml-1m,4,3,35,0.5540533073438703,0.6539735099337748,0.5881474367419995
ml-1m,4,3,5,0.09478476821192053,0.09602649006622516,0.09519867549668874
ml-1m,4,3,10,0.2779111479028698,0.29387417218543044,0.28321376011773364
ml-1m,4,3,15,0.3994619205298013,0.4403973509933775,0.4130600589623769
ml-1m,4,3,20,0.4868742116051718,0.5480132450331126,0.5074810629032483
ml-1m,4,3,25,0.5296117812467149,0.6117549668874173,0.5573506630418882
ml-1m,4,3,30,0.5731417014736551,0.6713576158940397,0.6063794660936651
ml-1m,4,3,35,0.599871791655732,0.7102649006622517,0.6378328744808177
ml-1m,4,3,5,0.08567880794701986,0.0869205298013245,0.08606512141280354
ml-1m,4,3,10,0.21986754966887406,0.2317880794701987,0.2239770577105014
ml-1m,4,3,15,0.3203859192683696,0.3493377483443709,0.3300171177240714
ml-1m,4,3,20,0.3915382240092505,0.4403973509933775,0.4073012858024545
ml-1m,4,3,25,0.4565190397350993,0.5215231788079471,0.4783479530954696
ml-1m,4,3,30,0.4931313559941335,0.5711920529801324,0.51952760739722
ml-1m,4,3,35,0.5251320928887154,0.6167218543046358,0.5566566470762953
ml-1m,4,3,5,0.1038907284768212,0.10513245033112582,0.1043046357615894
ml-1m,4,3,10,0.2935430463576159,0.3087748344370861,0.2987011195206559
ml-1m,4,3,15,0.4181015452538632,0.4627483443708609,0.432951200749214
ml-1m,4,3,20,0.4938196415431514,0.5620860927152318,0.5166053417538614
ml-1m,4,3,25,0.5440174569727549,0.6341059602649006,0.5745245397407583
ml-1m,4,3,30,0.5801381151960622,0.6804635761589404,0.6147202422974251
ml-1m,4,3,35,0.6079458678279042,0.722682119205298,0.6478174663916021
ml-1m,8,3,5,0.2569674392935982,0.2673841059602649,0.2604225796278777
ml-1m,8,3,10,0.4191343424787133,0.4528145695364239,0.4307350164552151
ml-1m,8,3,15,0.525982865552402,0.5811258278145696,0.5454063130253722
ml-1m,8,3,20,0.5962211009189486,0.6688741721854304,0.6222674139628577
ml-1m,8,3,25,0.6387369674864805,0.7268211920529801,0.6711398157296503
ml-1m,8,3,30,0.6660274263458914,0.7682119205298014,0.7034238087801392
ml-1m,8,3,35,0.6849946722889679,0.7955298013245033,0.7256642853080418
ml-1m,8,3,5,0.309326710816777,0.3187086092715232,0.3125670135603911
ml-1m,8,3,10,0.4574641280353201,0.4933774834437086,0.4698235309576369
ml-1m,8,3,15,0.5446224902764638,0.6026490066225165,0.5646870123070454
ml-1m,8,3,20,0.6084034228280917,0.6837748344370861,0.6351089262952639
ml-1m,8,3,25,0.6456225031866588,0.7367549668874173,0.6784486162149092
ml-1m,8,3,30,0.6733757033529385,0.7781456953642384,0.7112408070147768
ml-1m,8,3,35,0.6841231228710541,0.8021523178807947,0.7269509104360886
ml-1m,8,3,5,0.2875965783664459,0.2947019867549669,0.2900031535793125
ml-1m,8,3,10,0.4783388520971302,0.5165562913907285,0.4914576823103313
ml-1m,8,3,15,0.5639358640807316,0.6283112582781457,0.5864514969026559
ml-1m,8,3,20,0.6176571175329454,0.7011589403973509,0.6468055790224305
ml-1m,8,3,25,0.6595436824948414,0.7566225165562914,0.693857254215082
ml-1m,8,3,30,0.6820459954968929,0.7922185430463576,0.7215596416982618
ml-1m,8,3,35,0.6984734769445511,0.8145695364238411,0.7408258708183707
