dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,256,2,15,0.7521742537264061,0.8899006622516556,0.8020933661663676
ml-1m,256,2,20,0.766247584966542,0.9230132450331126,0.8235735239459303
ml-1m,256,2,25,0.7737809984595796,0.9437086092715232,0.8364016909116152
ml-1m,256,2,30,0.7751886975287883,0.9544701986754968,0.8418900201576526
ml-1m,256,2,35,0.7771800266024512,0.961092715231788,0.8463539787966567
ml-1m,256,2,5,0.24383278145695364,0.2814569536423841,0.25612845579733
ml-1m,256,2,10,0.3732596184169032,0.4445364238410596,0.3963739626819097
ml-1m,256,2,15,0.4469033404049961,0.5579470198675497,0.4825580943357429
ml-1m,256,2,20,0.5025979700027713,0.6399006622516556,0.5469378031381728
ml-1m,256,2,25,0.5324732734099212,0.6928807947019867,0.585123493931667
ml-1m,256,2,30,0.5629644743856564,0.7425496688741722,0.6216457464774315
ml-1m,256,2,35,0.5802085977543596,0.7731788079470199,0.6446175558882041
ml-1m,256,2,5,0.6708195364238411,0.7649006622516556,0.7033920687480288
ml-1m,256,2,10,0.734896654577946,0.8700331125827815,0.7833803581529655
ml-1m,256,2,15,0.7679567098648225,0.9221854304635762,0.8243673786217293
ml-1m,256,2,20,0.7768448458927502,0.9437086092715232,0.8382719865022028
ml-1m,256,2,25,0.7765704917955091,0.9536423841059604,0.8430022992537941
ml-1m,256,2,30,0.7773206061195324,0.9619205298013244,0.8471885832204971
ml-1m,256,2,35,0.7814033652020022,0.9718543046357616,0.8535720041653628
ml-1m,256,2,5,0.3279525386313465,0.36009933774834435,0.33879033953537263
ml-1m,256,2,10,0.4825350835698518,0.5596026490066225,0.5085977763957896
ml-1m,256,2,15,0.5653752819108779,0.6771523178807947,0.6033929073282301
ml-1m,256,2,20,0.6117890135067288,0.7524834437086093,0.6596824903143705
ml-1m,256,2,25,0.6373750868790711,0.7963576158940397,0.6919142359287964
ml-1m,256,2,30,0.6706084585364938,0.8501655629139073,0.7328692373949528
ml-1m,256,2,35,0.6836795567203041,0.8758278145695364,0.7507656912849371
ml-1m,256,2,5,0.2010899558498896,0.2185430463576159,0.2067447177546515
ml-1m,256,2,10,0.3106650110375276,0.35927152317880795,0.3266693663216842
ml-1m,256,2,15,0.3922671607274256,0.4685430463576159,0.41732626434504266
ml-1m,256,2,20,0.4539691751405328,0.5579470198675497,0.4875265602082566
ml-1m,256,2,25,0.4902105561192043,0.6167218543046358,0.5313159393185996
ml-1m,256,2,30,0.5184054873782669,0.6754966887417219,0.5695192372797423
ml-1m,256,2,35,0.5374700127810731,0.7135761589403974,0.5951999636659722
ml-1m,256,2,5,0.6977373068432671,0.7839403973509934,0.7275971039629979
ml-1m,256,2,10,0.7700193156732892,0.8890728476821192,0.8142352242828557
ml-1m,256,2,15,0.7905499807403782,0.9312913907284768,0.8432423923412267
ml-1m,256,2,20,0.7912796960167241,0.9478476821192052,0.8509345198352692
ml-1m,256,2,25,0.7895526755489202,0.9586092715231788,0.8541447989929493
ml-1m,256,2,30,0.7907236530059515,0.9677152317880796,0.8584496602943741
ml-1m,256,2,35,0.791833042765451,0.9776490066225164,0.8628076903722112
ml-1m,256,3,5,0.6909492273730684,0.7723509933774835,0.7195180279617366
ml-1m,256,3,10,0.7562069667822979,0.8725165562913907,0.7989292401477422
ml-1m,256,3,15,0.7840232661010808,0.9238410596026492,0.8363137270000999
ml-1m,256,3,20,0.7934407703859745,0.9470198675496688,0.8509500759454252
ml-1m,256,3,25,0.7959962504039926,0.9594370860927152,0.8583088232824615
ml-1m,256,3,30,0.7967654375669992,0.9693708609271524,0.8629203570744545
ml-1m,256,3,35,0.7956865813574575,0.9751655629139072,0.8649003756126554
ml-1m,256,3,5,0.681098233995585,0.7665562913907285,0.7110257016713971
ml-1m,256,3,10,0.7499014506464837,0.8783112582781457,0.7960173365198943
ml-1m,256,3,15,0.7560240532094837,0.9089403973509934,0.812255885245269
ml-1m,256,3,20,0.7704112669000388,0.9403973509933776,0.8327993577954704
ml-1m,256,3,25,0.7729479766758305,0.9536423841059604,0.8396205353722624
ml-1m,256,3,30,0.7749585994403493,0.9677152317880796,0.8463794848037998
ml-1m,256,3,35,0.7700674480508705,0.9718543046357616,0.8448859762641077
ml-1m,256,3,5,0.6969646799116999,0.7938741721854304,0.7306120571849049
ml-1m,256,3,10,0.7617152186481657,0.8932119205298014,0.8088711972946078
ml-1m,256,3,15,0.7757186154537148,0.9279801324503312,0.8317615565119939
ml-1m,256,3,20,0.7846335813363549,0.9486754966887416,0.8459750024480713
ml-1m,256,3,25,0.7899460570205501,0.9644039735099338,0.8559301169406096
ml-1m,256,3,30,0.7924181671875032,0.9743377483443708,0.8616553421061567
ml-1m,256,3,35,0.7911407901066035,0.9809602649006622,0.8633158792025318
ml-1m,256,3,5,0.6992135761589404,0.7831125827814569,0.7285313518343319
ml-1m,256,3,10,0.7494950988121518,0.8725165562913907,0.7937636464970363
ml-1m,256,3,15,0.7734147268294619,0.9163907284768212,0.8264518739440959
ml-1m,256,3,20,0.7860214845467957,0.9437086092715232,0.8452666912435328
ml-1m,256,3,25,0.7905912890802433,0.9577814569536424,0.8541379181545816
ml-1m,256,3,30,0.7884253029783675,0.9677152317880796,0.8567580580278775
ml-1m,256,3,35,0.7896123105395619,0.9751655629139072,0.8608617842658277
ml-1m,256,3,5,0.7007864238410596,0.7748344370860927,0.7266148954062861
ml-1m,256,3,10,0.7661660359508042,0.8865894039735099,0.8093708786460796
ml-1m,256,3,15,0.7776802897249917,0.9238410596026492,0.8306167945371512
ml-1m,256,3,20,0.7822695252014176,0.9445364238410596,0.8421351962819508
ml-1m,256,3,25,0.7839903701364228,0.9602649006622516,0.8497990747993459
ml-1m,256,3,30,0.7842677626523379,0.9660596026490066,0.8532069350706701
ml-1m,256,3,35,0.7817727330362622,0.9743377483443708,0.8546382277068948
ml-1m,256,3,5,0.6978200883002208,0.7806291390728477,0.7273382476610953
ml-1m,256,3,10,0.7639815252811941,0.8824503311258278,0.8075607395296311
ml-1m,256,3,15,0.7883893401484461,0.9271523178807948,0.8402908497781886
ml-1m,256,3,20,0.7929525299183908,0.9428807947019868,0.8500582958150642
ml-1m,256,3,25,0.7954732505319663,0.9561258278145696,0.8572735763780638
ml-1m,256,3,30,0.7932805282865265,0.9668874172185432,0.8598538583918697
ml-1m,256,3,35,0.7934962948062999,0.9735099337748344,0.8630943524727871
ml-1m,256,3,5,0.6993515452538631,0.7864238410596026,0.7299274676758121
ml-1m,256,3,10,0.7577499211605172,0.8807947019867549,0.8028736982879772
ml-1m,256,3,15,0.7727902983697685,0.9213576158940396,0.8279728555671634
ml-1m,256,3,20,0.7793434530495122,0.9437086092715232,0.8410638406476595
ml-1m,256,3,25,0.7879075863997276,0.9652317880794702,0.8548770153289148
ml-1m,256,3,30,0.7858583078380351,0.9718543046357616,0.856435566075801
ml-1m,256,3,35,0.7818682977662884,0.9776490066225164,0.8563021463734934
ml-1m,256,3,5,0.6870722958057395,0.7649006622516556,0.7144302533375381
ml-1m,256,3,10,0.7507138258173026,0.8758278145695364,0.7956774968687297
ml-1m,256,3,15,0.7686256325536127,0.9163907284768212,0.8232900278490185
ml-1m,256,3,20,0.7747382073125505,0.9395695364238412,0.8359615848466384
ml-1m,256,3,25,0.7796078959534939,0.9552980132450332,0.8456437238632885
ml-1m,256,3,30,0.7827941952100197,0.9644039735099338,0.8515201457978829
ml-1m,256,3,35,0.7865904826061385,0.972682119205298,0.8575029804606201
ml-1m,256,3,5,0.7145143487858719,0.8054635761589404,0.7461703721223589
ml-1m,256,3,10,0.7595819536423841,0.8890728476821192,0.8067622924427021
ml-1m,256,3,15,0.7810946779489826,0.9296357615894041,0.8361026674318224
ml-1m,256,3,20,0.7929705594922839,0.9552980132450332,0.8539115129952839
ml-1m,256,3,25,0.7923736244974959,0.9660596026490066,0.8582541130010363
ml-1m,256,3,30,0.7943818717851666,0.9735099337748344,0.8627724860997887
ml-1m,256,3,35,0.7949921025428365,0.9776490066225164,0.8649477919666567
ml-1m,256,3,5,0.7108167770419427,0.7905629139072847,0.738580757910228
ml-1m,256,3,10,0.7750032849784505,0.8923841059602649,0.8169497468985017
ml-1m,256,3,15,0.7900032661415112,0.9279801324503312,0.8408459678771116
ml-1m,256,3,20,0.8005807588534264,0.9528145695364238,0.8569677673504754
ml-1m,256,3,25,0.797998265968521,0.9635761589403974,0.8598506014397047
ml-1m,256,3,30,0.7992990473731112,0.9701986754966888,0.8645439286739518
ml-1m,256,3,35,0.7940154985660478,0.9759933774834436,0.8633229316960371
ml-1m,256,4,5,0.6648040838852097,0.7475165562913907,0.6937486860086197
ml-1m,256,4,10,0.7418148191947861,0.8675496688741722,0.7866263141760087
ml-1m,256,4,15,0.7686637015486354,0.9147350993377484,0.8217759356074713
ml-1m,256,4,20,0.783023315766137,0.9420529801324504,0.8414586038021858
ml-1m,256,4,25,0.782985091293188,0.9519867549668874,0.8458915756468588
ml-1m,256,4,30,0.7784463346501781,0.9602649006622516,0.8470433363224065
ml-1m,256,4,35,0.7815668494564019,0.9677152317880796,0.8522591997544613
ml-1m,256,4,5,0.6892935982339956,0.7682119205298014,0.7172297119730895
ml-1m,256,4,10,0.7449943498370649,0.8642384105960265,0.7892346488337739
ml-1m,256,4,15,0.7600906084349793,0.9048013245033112,0.8139423736310885
ml-1m,256,4,20,0.7713707288674483,0.9321192052980132,0.8316704646514109
ml-1m,256,4,25,0.7761629596446937,0.9503311258278144,0.8411606146572499
ml-1m,256,4,30,0.7740011098205116,0.9586092715231788,0.8433256112811307
ml-1m,256,4,35,0.7758856109624702,0.9677152317880796,0.8484688161765173
ml-1m,256,4,5,0.6880104856512141,0.7814569536423841,0.7205771050141909
ml-1m,256,4,10,0.7453832912856092,0.8807947019867549,0.7940676896834761
ml-1m,256,4,15,0.7650439883883592,0.9188741721854304,0.8219638007046712
ml-1m,256,4,20,0.7698744449801003,0.933774834437086,0.8317684226298864
ml-1m,256,4,25,0.7728271901222536,0.9470198675496688,0.8393058486417196
