dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,4,1,5,0.08071192052980132,0.0836092715231788,0.08167770419426047
ml-1m,4,1,10,0.19081125827814568,0.1978476821192053,0.1931843267108168
ml-1m,4,1,15,0.31145143487858723,0.3360927152317881,0.3194694102806685
ml-1m,4,1,20,0.41054280983916747,0.4552980132450331,0.4254897006966543
ml-1m,4,1,25,0.4781878326787268,0.5422185430463576,0.4996672201970215
ml-1m,4,1,30,0.5405552688665272,0.6208609271523179,0.5683124832865724
ml-1m,4,1,35,0.5717948074736154,0.6647350993377483,0.604165125258649
ml-1m,4,1,5,0.04304635761589404,0.04304635761589404,0.04304635761589404
ml-1m,4,1,10,0.15528421633554082,0.1597682119205298,0.15672500788394828
ml-1m,4,1,15,0.2710659098076316,0.2855960264900662,0.2759539577420372
ml-1m,4,1,20,0.369125741807861,0.3973509933774834,0.3783956523608841
ml-1m,4,1,25,0.43381425417849256,0.4776490066225166,0.4484837550234901
ml-1m,4,1,30,0.4953018431434384,0.5480132450331126,0.5137343731507638
ml-1m,4,1,35,0.534712649236438,0.6059602649006622,0.5592451022768514
ml-1m,4,1,5,0.11906732891832232,0.12251655629139073,0.12017108167770416
ml-1m,4,1,10,0.2598923841059603,0.2731788079470199,0.2642423525701671
ml-1m,4,1,15,0.3659078366445916,0.39486754966887416,0.3755929087468823
ml-1m,4,1,20,0.4444069956901083,0.4933774834437086,0.4609414086649186
ml-1m,4,1,25,0.4917090428886786,0.5571192052980133,0.5140641229631296
ml-1m,4,1,30,0.5447004039926225,0.6200331125827815,0.5705117781229949
ml-1m,4,1,35,0.5717888347855236,0.6614238410596026,0.6027006939850496
ml-1m,4,1,5,0.0418046357615894,0.042218543046357616,0.04194260485651214
ml-1m,4,1,10,0.17080573951434874,0.1771523178807947,0.1729580573951435
ml-1m,4,1,15,0.3239790286975717,0.3435430463576159,0.3305884053400609
ml-1m,4,1,20,0.4399735887732576,0.4817880794701987,0.4542749515017727
ml-1m,4,1,25,0.5195856089274964,0.5827814569536424,0.5413199300827318
ml-1m,4,1,30,0.5708125782422141,0.6481788079470199,0.5977222370156412
ml-1m,4,1,35,0.61447252848329,0.7044701986754967,0.6463355973126876
