dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,4,4,5,0.127621412803532,0.13079470198675494,0.12869757174392935
ml-1m,4,4,10,0.2544150110375276,0.2764900662251656,0.2618101545253863
ml-1m,4,4,15,0.3518271050141911,0.3874172185430464,0.36397500586242304
ml-1m,4,4,20,0.4176124119625775,0.4710264900662252,0.4355751458643941
ml-1m,4,4,25,0.4754050079795113,0.5413907284768212,0.4980825574027755
ml-1m,4,4,30,0.5229070805022792,0.6043046357615894,0.5510506260924403
ml-1m,4,4,35,0.5567603983580804,0.652317880794702,0.5898056691045256
ml-1m,4,4,5,0.0939569536423841,0.09602649006622516,0.0946467991169978
ml-1m,4,4,10,0.2317328918322296,0.24503311258278146,0.236189293598234
ml-1m,4,4,15,0.34869914853358563,0.37996688741721857,0.35948863039094825
ml-1m,4,4,20,0.4215376327131294,0.4701986754966888,0.4384315831335697
ml-1m,4,4,25,0.4697959371386524,0.5389072847682119,0.4934218891635136
ml-1m,4,4,30,0.5118337879927285,0.5951986754966887,0.5403952733897708
ml-1m,4,4,35,0.5510716702355775,0.6473509933774835,0.5840421380628973
ml-1m,4,4,5,0.14155629139072848,0.14486754966887416,0.14263245033112582
ml-1m,4,4,10,0.2887969094922737,0.3104304635761589,0.29601466414380323
ml-1m,4,4,15,0.3808308367497109,0.42135761589403975,0.39473975792635707
ml-1m,4,4,20,0.4589133112104967,0.5140728476821192,0.4780340269778586
ml-1m,4,4,25,0.5064691080626511,0.5745033112582781,0.5299618612629269
ml-1m,4,4,30,0.5492525594346787,0.6299668874172185,0.5775765399625189
ml-1m,4,4,35,0.5779694618319792,0.6721854304635762,0.6112411569313252
ml-1m,4,4,5,0.1291390728476821,0.13079470198675494,0.12969094922737304
ml-1m,4,4,10,0.27338576158940403,0.2905629139072848,0.2790480490811616
ml-1m,4,4,15,0.36667126563649743,0.3998344370860927,0.377855166248719
ml-1m,4,4,20,0.4314796199936928,0.4850993377483444,0.4497838713898316
ml-1m,4,4,25,0.4819257200672764,0.5504966887417219,0.5054300824862278
ml-1m,4,4,30,0.512121356844039,0.5910596026490066,0.5393383287960591
ml-1m,4,4,35,0.5449559339666956,0.6357615894039735,0.5761956063390653
ml-1m,4,4,5,0.044288079470198666,0.04470198675496689,0.04442604856512141
ml-1m,4,4,10,0.21723233995584987,0.222682119205298,0.21905944497004104
ml-1m,4,4,15,0.3493791390728476,0.3741721854304636,0.3574171229800369
ml-1m,4,4,20,0.440728476821192,0.484271523178808,0.4553392845197481
ml-1m,4,4,25,0.4909452853989278,0.5513245033112583,0.5116188125707993
ml-1m,4,4,30,0.543227300201638,0.6158940397350994,0.5684019179539241
ml-1m,4,4,35,0.5738677873818602,0.6589403973509934,0.6038423682551782
ml-1m,4,4,5,0.10954746136865344,0.11175496688741722,0.1102373068432671
ml-1m,4,4,10,0.24634381898454746,0.25662251655629137,0.2498659728792179
ml-1m,4,4,15,0.35873935666982026,0.3874172185430464,0.36831027232517294
ml-1m,4,4,20,0.44083129664669396,0.4900662251655629,0.4576038529924388
ml-1m,4,4,25,0.4757529469243045,0.5422185430463576,0.49899978494084096
ml-1m,4,4,30,0.5359501816248505,0.6183774834437086,0.5641137132154721
ml-1m,4,4,35,0.5660296617122434,0.6639072847682119,0.5997819433673439
ml-1m,4,4,5,0.05091059602649007,0.05132450331125829,0.0510485651214128
ml-1m,4,4,10,0.1669977924944812,0.17135761589403972,0.1684642068748029
ml-1m,4,4,15,0.2609133554083885,0.27897350993377484,0.26702341532639545
ml-1m,4,4,20,0.35164183222958056,0.3849337748344371,0.36314313905373496
ml-1m,4,4,25,0.41881865604961627,0.4759933774834437,0.4382571089092884
ml-1m,4,4,30,0.4897381568946138,0.5596026490066225,0.5134476861935017
ml-1m,4,4,35,0.5270501998461435,0.6158940397350994,0.5569618959433063
ml-1m,4,4,5,0.11175496688741722,0.11423841059602648,0.11258278145695363
ml-1m,4,4,10,0.2599337748344371,0.2740066225165563,0.2646799116997793
ml-1m,4,4,15,0.3769512771996216,0.4105960264900662,0.3882647337945351
ml-1m,4,4,20,0.4414994612635341,0.494205298013245,0.4594783092616165
ml-1m,4,4,25,0.5005916843458235,0.5662251655629139,0.5231389455892705
ml-1m,4,4,30,0.5506293743048709,0.6316225165562914,0.5787455644774828
ml-1m,4,4,35,0.581088465748844,0.6705298013245033,0.6126588841592312
ml-1m,4,4,5,0.097682119205298,0.09933774834437084,0.09823399558498896
ml-1m,4,4,10,0.2350993377483444,0.2475165562913907,0.2391753390097761
ml-1m,4,4,15,0.3411857458215073,0.3708609271523179,0.3512305529275728
ml-1m,4,4,20,0.4242868311783875,0.4735099337748344,0.4409275235434175
ml-1m,4,4,25,0.4811030856560658,0.5447019867549668,0.502843904623706
ml-1m,4,4,30,0.5225789065606946,0.6001655629139073,0.5492429369695301
ml-1m,4,4,35,0.5632198433005552,0.6514900662251656,0.5939487774555421
ml-1m,4,4,5,0.05753311258278146,0.05794701986754967,0.05767108167770418
ml-1m,4,4,10,0.22661423841059605,0.2367549668874172,0.22998659728792176
ml-1m,4,4,15,0.34637141280353195,0.3758278145695364,0.3564648375906654
ml-1m,4,4,20,0.43806074582150734,0.4867549668874172,0.4546253139796186
ml-1m,4,4,25,0.4878978108903605,0.5579470198675497,0.511480354260235
ml-1m,4,4,30,0.524507462276502,0.6109271523178808,0.5538879894977471
