dataset,batch_size,layer,top-n,precision,recall,f1
ml-1m,16,2,15,0.6407688154376896,0.7350993377483444,0.6743039223160592
ml-1m,16,2,20,0.6697487757394749,0.7789735099337748,0.7093558790795693
ml-1m,16,2,25,0.695198900748175,0.8145695364238411,0.7390732359646429
ml-1m,16,2,30,0.7189782020342986,0.8468543046357616,0.7663916772883332
ml-1m,16,2,35,0.7311429726490579,0.8708609271523179,0.782821947548673
ml-1m,16,2,5,0.4646799116997792,0.5049668874172185,0.4780142962262168
ml-1m,16,2,10,0.5953248186691896,0.6605960264900662,0.6184833517226695
ml-1m,16,2,15,0.6588626490323509,0.7433774834437086,0.6894482561706488
ml-1m,16,2,20,0.6933757314326802,0.7971854304635762,0.731361159578875
ml-1m,16,2,25,0.7189662426801187,0.8385761589403974,0.7628089669308679
ml-1m,16,2,30,0.7363581386382014,0.8650662251655629,0.7838291021385638
ml-1m,16,2,35,0.7455840593426161,0.8865894039735099,0.7981178708422425
ml-1m,16,2,5,0.4458609271523179,0.4809602649006622,0.4577459791863765
ml-1m,16,2,10,0.587233588247661,0.6572847682119205,0.6119006139944978
ml-1m,16,2,15,0.6602106594656263,0.7541390728476821,0.6939802188127404
ml-1m,16,2,20,0.6938621992429941,0.8054635761589404,0.7344430582509506
ml-1m,16,2,25,0.7234836766239578,0.8451986754966887,0.7682522072833257
ml-1m,16,2,30,0.7382417466865545,0.8716887417218543,0.7872477630235718
ml-1m,16,2,35,0.7596144616225656,0.9014900662251656,0.8120796869400235
ml-1m,16,2,5,0.4543046357615894,0.4933774834437086,0.4677375696415431
ml-1m,16,2,10,0.5787823241879533,0.6564569536423841,0.6058547910979071
ml-1m,16,2,15,0.6274816174443658,0.7309602649006622,0.6636286413034385
ml-1m,16,2,20,0.6675585633147962,0.7831125827814569,0.7089626132654538
ml-1m,16,2,25,0.6962918997077561,0.8228476821192053,0.7426127667896255
ml-1m,16,2,30,0.7119528582574273,0.8509933774834437,0.7628488023016535
ml-1m,16,2,35,0.7200059776678149,0.8708609271523179,0.7757318042083511
ml-1m,16,2,5,0.4522488962472406,0.49420529801324503,0.4661338431619889
ml-1m,16,2,10,0.5770209187427732,0.6481788079470199,0.6017015523042807
ml-1m,16,2,15,0.6430647856558452,0.7392384105960265,0.6774656218013526
ml-1m,16,2,20,0.6726363266846409,0.7889072847682119,0.7141616251869677
ml-1m,16,2,25,0.6893900280915377,0.8195364238410596,0.7361527090495573
ml-1m,16,2,30,0.7069484948135841,0.8451986754966887,0.7575423095759432
ml-1m,16,2,35,0.7200605995091539,0.8650662251655629,0.7735591739561862
ml-1m,16,2,5,0.4464679911699779,0.4776490066225166,0.4573432408283402
ml-1m,16,2,10,0.5724436297697887,0.6423841059602649,0.5965706088429599
ml-1m,16,2,15,0.6299808336439131,0.722682119205298,0.6631350559968853
ml-1m,16,2,20,0.6723658538848936,0.7822847682119205,0.7124232248894582
ml-1m,16,2,25,0.6980906258443907,0.8203642384105959,0.7428786873205626
ml-1m,16,2,30,0.712385974950252,0.8468543046357616,0.7618257972232639
ml-1m,16,2,35,0.7187280588695169,0.8600993377483444,0.7707888349255699
ml-1m,16,2,5,0.4598096026490066,0.5008278145695364,0.4739205560811521
ml-1m,16,2,10,0.5892558209818144,0.6663907284768212,0.6165882728382728
ml-1m,16,2,15,0.6438837629441934,0.7417218543046358,0.6790817770918837
ml-1m,16,2,20,0.6733358062018707,0.7872516556291391,0.7145777897622573
ml-1m,16,2,25,0.6869344001212556,0.8153973509933775,0.7338524130470909
ml-1m,16,2,30,0.7006362645360622,0.8360927152317881,0.7506470829984542
ml-1m,16,2,35,0.7157756598134937,0.859271523178808,0.7693309867478269
ml-1m,16,2,5,0.4380656732891832,0.4701986754966888,0.4490972879217912
ml-1m,16,2,10,0.5574322637443498,0.6332781456953642,0.5839178168064026
ml-1m,16,2,15,0.6228384451273523,0.7160596026490066,0.6562219487358913
ml-1m,16,2,20,0.6604901066097257,0.7715231788079471,0.7005997112496727
ml-1m,16,2,25,0.6901245810485745,0.8104304635761589,0.7341566366260536
ml-1m,16,2,30,0.7039448919402811,0.8369205298013245,0.7528089929858754
ml-1m,16,2,35,0.717885485749228,0.8551324503311258,0.7689628532589163
ml-1m,16,2,5,0.3878863134657836,0.4155629139072848,0.3972248502049826
ml-1m,16,2,10,0.5407265058341217,0.6125827814569537,0.5655871859928152
ml-1m,16,2,15,0.6124794539529639,0.7044701986754967,0.6449785162194118
ml-1m,16,2,20,0.6538388499377737,0.7632450331125827,0.6925589056137229
ml-1m,16,2,25,0.6883530979795179,0.8129139072847682,0.7326893622202956
ml-1m,16,2,30,0.7069316481596538,0.8468543046357616,0.7567857639248343
ml-1m,16,2,35,0.7140001569195733,0.8634105960264901,0.7674261104589529
ml-1m,32,2,5,0.4944812362030904,0.5447019867549668,0.5117950436245138
ml-1m,32,2,10,0.6193458950909282,0.7044701986754967,0.6506451172381861
ml-1m,32,2,15,0.6754218142049268,0.7822847682119205,0.7152578763335949
